                             MATêRIAS PRIMAS;;;;;;;;%;
DESCRIÄ«O;FORN.;LARG.;UNID.;CUSTO;AVISTA;% IPI;% ICM;FRETE;PIS+COFINS
CABEDAL PRETO;WT;;KG;4,27;4,70;0;0;0;9,25
CABEDAL PRETO C/ ANTIMICROB.;WT;;KG;5,79;6,38;0;0;0;9,25
;;;;;;;;;
LYCRA BCO;PESSINA;;KG;3,20;3,53;0;0;0;9,25
LYCRA CORES;PESSINA;;KG;3,63;4,00;0;0;0;9,25
LYCRA PRETA;PESSINA;;KG;4,61;5,08;0;0;0;9,25
;;;;;;;;;
CAMURÄA CORES;PESSINA;;KG;12,58;13,86;0;0;0;9,25
;;;;;;;;;
CAMBRET CRÈ;SC;;KG;2,86;3,15;0;0;0;9,25
CAMBRET CORES;SC;;KG;5,17;5,70;0;0;0;9,25
;;;;;;;;;
ESTAMPA NATUR;;;MT;1,36;1,50;0;0;0;9,25
OUTROS;;;;;;;;;
ENERGIA ELêTRICA;CEEE;;KW/H;0,17;0,22;;25;;
GAS;;;KG;;;;;;
PLµST. TUBULAR;EMBAPLAST;;KG;2,16;2,16;0;;0;
FITA ADESIVA;;;ROLO;0,00;;;17;;
FITA ADESIVA ALTA TEMP.;;;ROLO;0,00;;;;;
ETIQUETAS;ANDRADE;;UN;0,10;0,10;0;;0;
TUBETES;KEBACH;;UN;0,45;0,81;4;17;5;
ALCOOL;Carrefour;;L;2,00;2,00;0;0;0;
;;;;;;;;;
LINHA PET;; QUANT ;;;;;;;
ESPUMA VISCO CAMA GRANDE;;;UN;46,00;46,00;;0;;
ESPUMA VISCO CAMA PEQUENA;;;UN;25,00;25,00;;0;;
ESPUMA NORMAL CAMA GRANDE;;;UN;34,00;34,00;;0;;
ESPUMA NORMAL CAMA PEQ.;;;UN;17,00;17,00;;0;;
TRATAMENTO INSECTA;DUBLAUTO;;MT;3,00;3,00;;0;;
TECIDO CAMA JACKARD;MENEGHEL;;MT;6,24;6,50;0;7;3;
M«O DE OBRA CAPA GRANDE;KEZO;;UN;7,30;7,30;;;;
M«O DE OBRA CAPA PEQUENA;KEZO;;UN;7,30;7,30;;;;
EMBALAGEM CAMA;;;UN;0,20;0,20;0;;0;
ZIPPER;;;UN;0,50;0,50;0;;0;
BORDADO LOGO;KEZO;;UN;3,20;3,20;0;;0;
SILK LOGO;KEZO;;UN;2,10;2,10;0;;0;
;;;;;;;;;
;;;;;;;;;
SPRAY PARA AMBIENTE;NANOVETORES; 500ml ;UN;0,00;0,00;0;0;0;
BANHO µ SECO;NANOVETORES; 250ml ;UN;10,80;10,80;;0;;
DOSE ÈNICA;NANOVETORES;;UN;;;;0;;
;;;;;;;;;
SHAMPOO;NANOVETORES; 250ml ;UN;6,70;6,70;;0;;
CONDICIONADOR;NANOVETORES; 250ml ;UN;8,14;8,14;;0;;
SOLUÄ«O HIDRATANTE;NANOVETORES; 250ml ;UN;7,67;7,67;0;0;0;
;;;;;;;;;
;;;;;;;;;
